!id,!post_type,!post_title,!post_content,!post_excerpt,!post_category,!tags_input,!post_parent,!page_template,!menu_order,!post_status,!comment_status,!post_author,!post_name,!post_date
,,The Portside Pub,"""Sound System:Well powered sound system and monitor rig. Equipped with standard variety of mics, DI's etc.
Stage Info: approx 3 feet high, 20 feet wide and 10 feet deep.
Booking Contact Info:
Ash MacLeod
ash@markbrandinc.com
778-995-2741 Source:<a href=""http://livevan.com/index.php?resid=744661&res_action=info"">http://livevan.com/index.php?resid=744661&res_action=info</a>",7 Alexander Street,(604) 559-6333,info@theportsidepub.com,V6A 1B2,All,250-300,draft,open,http://www.theportsidepub.com,"Sun, Mon, Tues, Wed, Thurs",
,,Pat's Pub,"MONDAY - Open Mic Night
TUESDAY-BreakBeat Lounge
WEDNESDAY- Live Piano
THURSDAY- Leonard and The Lab Rats -Blues Jam 9pm
FRIDAY -LIVE BANDS!
SATURDAY-Afternoon Jazz 3-7pm, Evening LIVE BANDS!         Booking Contact Info:
Daryl Nelsen
info *at* patspub.ca     Source<a href=""http://livevan.com/index.php?resid=2521&res_action=info#specs>here</a>             ",403 East Hastings,604.255.4301,info@patspub.ca,V6A 1P6,"Piano Bar, Jazz, Rock",,,,http://www.patspub.ca/,"Mon, Tues, Wed, Thurs, Fri, Sat",
,,Kingfisher's Waterfront Bar and Grill,Not yet available,23840 River Rd.,(604) 463-0094,manager.kingfishers@gmail.com,V2W 1B7,Blues,100-150,,,http://www.kingfisherspub.com/,"Fri, Sat",
,,The Pressbox,"Contact <a email=""manager@pressboxvan.com"">manager@pressboxvan.com</a>  Bring your own gear",2889 East Hastings Street,(604) 252-2690,manager@pressboxvan.com,BC V5K,"Cover, Rock, Blues",100-150,,,https://www.facebook.com/pressbox.vancouver.3,"Fri, Sat",
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
